corruption_type,severity,mean_pred_entropy,std_pred_entropy,mean_true_entropy,entropy_gap
gaussian_noise,0,0.4561597406864166,0.5918799638748169,0.2514975368976593,0.20466220378875732
gaussian_noise,1,1.0627299547195435,0.7791414260864258,0.2514975368976593,0.8112324476242065
gaussian_noise,2,1.3484504222869873,0.679041862487793,0.2514975368976593,1.0969529151916504
gaussian_noise,3,1.3140146732330322,0.5283126831054688,0.2514975368976593,1.0625171661376953
gaussian_noise,4,1.3821418285369873,0.4322313964366913,0.2514975368976593,1.1306443214416504
gaussian_noise,5,1.4817485809326172,0.3918748199939728,0.2514975368976593,1.2302510738372803
gaussian_blur,0,0.4561597406864166,0.5918799638748169,0.2514975368976593,0.20466220378875732
gaussian_blur,1,1.3288055658340454,0.6593520045280457,0.2514975368976593,1.0773080587387085
gaussian_blur,2,1.7219350337982178,0.4555092453956604,0.2514975368976593,1.4704375267028809
gaussian_blur,3,1.8555781841278076,0.4224088490009308,0.2514975368976593,1.6040806770324707
gaussian_blur,4,1.889074444770813,0.3709016442298889,0.2514975368976593,1.637576937675476
gaussian_blur,5,1.927148461341858,0.33910849690437317,0.2514975368976593,1.675650954246521
contrast_reduction,0,0.4561597406864166,0.5918799638748169,0.2514975368976593,0.20466220378875732
contrast_reduction,1,0.45799657702445984,0.5913175940513611,0.2514975368976593,0.20649904012680054
contrast_reduction,2,0.4823564291000366,0.5993106365203857,0.2514975368976593,0.23085889220237732
contrast_reduction,3,0.5471579432487488,0.6191350221633911,0.2514975368976593,0.2956604063510895
contrast_reduction,4,0.7111822366714478,0.6717013120651245,0.2514975368976593,0.45968469977378845
contrast_reduction,5,1.1436305046081543,0.7196775078773499,0.2514975368976593,0.8921329975128174
